,id,name,categories,referralId,hasPerk,location.address,location.crossStreet,location.lat,location.lng,location.labeledLatLngs,location.distance,location.postalCode,location.cc,location.city,location.state,location.country,location.formattedAddress,venuePage.id,location.neighborhood,delivery.id,delivery.url,delivery.provider.name,delivery.provider.icon.prefix,delivery.provider.icon.sizes,delivery.provider.icon.name
0,5345ddce498e374167fa7173,DryBar,"[{'id': '4bf58dd8d48988d110951735', 'name': 'Salon / Barbershop', 'pluralName': 'Salons / Barbershops', 'shortName': 'Salon / Barbershop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/salon_barber_', 'suffix': '.png'}, 'primary': True}]",v-1618858911,False,141 E 56th St,56th Street And Lexington Avenue,40.76008684544023,-73.96912585199476,"[{'label': 'display', 'lat': 40.76008684544023, 'lng': -73.96912585199476}]",3378,10022,US,New York,NY,United States,"['141 E 56th St (56th Street And Lexington Avenue)', 'New York, NY 10022', 'United States']",,,,,,,,
1,4f2064f8e4b0a00cf1d3c3c1,Drybar,"[{'id': '4bf58dd8d48988d110951735', 'name': 'Salon / Barbershop', 'pluralName': 'Salons / Barbershops', 'shortName': 'Salon / Barbershop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/salon_barber_', 'suffix': '.png'}, 'primary': True}]",v-1618858911,False,119 W 56th St,btwn 6th & 7th Ave,40.76410996501346,-73.97876883291008,"[{'label': 'display', 'lat': 40.76410996501346, 'lng': -73.97876883291008}, {'label': 'entrance', 'lat': 40.764114, 'lng': -73.978448}]",3255,10019,US,New York,NY,United States,"['119 W 56th St (btwn 6th & 7th Ave)', 'New York, NY 10019', 'United States']",,,,,,,,
2,4e6f679dae604d1b459a5154,DryBar,"[{'id': '4bf58dd8d48988d110951735', 'name': 'Salon / Barbershop', 'pluralName': 'Salons / Barbershops', 'shortName': 'Salon / Barbershop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/salon_barber_', 'suffix': '.png'}, 'primary': True}]",v-1618858911,False,4 W 16th St,at 5th Ave,40.73755376258029,-73.99319270814934,"[{'label': 'display', 'lat': 40.73755376258029, 'lng': -73.99319270814934}, {'label': 'entrance', 'lat': 40.737498, 'lng': -73.993283}]",6440,10011,US,New York,NY,United States,"['4 W 16th St (at 5th Ave)', 'New York, NY 10011', 'United States']",77545546,,,,,,,
3,50df63efe4b0454c5e8f655d,Drybar,"[{'id': '4bf58dd8d48988d110951735', 'name': 'Salon / Barbershop', 'pluralName': 'Salons / Barbershops', 'shortName': 'Salon / Barbershop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/salon_barber_', 'suffix': '.png'}, 'primary': True}]",v-1618858911,False,180 W Broadway,,40.71809983636473,-74.00709212019936,"[{'label': 'display', 'lat': 40.71809983636473, 'lng': -74.00709212019936}]",8901,10013,US,New York,NY,United States,"['180 W Broadway', 'New York, NY 10013', 'United States']",,,,,,,,
4,5085a8b5e4b0ca321fdcea32,Dry Bar,"[{'id': '4bf58dd8d48988d110951735', 'name': 'Salon / Barbershop', 'pluralName': 'Salons / Barbershops', 'shortName': 'Salon / Barbershop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/salon_barber_', 'suffix': '.png'}, 'primary': True}]",v-1618858911,False,209 E 76th St,3rd Ave.,40.77220496421525,-73.95831509598833,"[{'label': 'display', 'lat': 40.77220496421525, 'lng': -73.95831509598833}]",1943,10021,US,New York,NY,United States,"['209 E 76th St (3rd Ave.)', 'New York, NY 10021', 'United States']",,,,,,,,
5,5a983849a5a3156b15012ff4,Drybar,"[{'id': '4bf58dd8d48988d110951735', 'name': 'Salon / Barbershop', 'pluralName': 'Salons / Barbershops', 'shortName': 'Salon / Barbershop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/salon_barber_', 'suffix': '.png'}, 'primary': True}]",v-1618858911,False,243 W 99th St,,40.796905517578125,-73.9706802368164,"[{'label': 'display', 'lat': 40.796905517578125, 'lng': -73.9706802368164}]",1217,10025,US,New York,NY,United States,"['243 W 99th St', 'New York, NY 10025', 'United States']",,,,,,,,
6,5b7d6c786fd626002c394614,Drybar,"[{'id': '4bf58dd8d48988d110951735', 'name': 'Salon / Barbershop', 'pluralName': 'Salons / Barbershops', 'shortName': 'Salon / Barbershop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/salon_barber_', 'suffix': '.png'}, 'primary': True}]",v-1618858911,False,1495 3rd Ave,,40.777626037597656,-73.9544906616211,"[{'label': 'display', 'lat': 40.777626037597656, 'lng': -73.9544906616211}]",1411,10028,US,New York,NY,United States,"['1495 3rd Ave', 'New York, NY 10028', 'United States']",,,,,,,,
7,558e9564498e4c9557996706,Drybar Bryant Park,"[{'id': '4bf58dd8d48988d110951735', 'name': 'Salon / Barbershop', 'pluralName': 'Salons / Barbershops', 'shortName': 'Salon / Barbershop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/salon_barber_', 'suffix': '.png'}, 'primary': True}]",v-1618858911,False,19 E 39th St,Madison Avenue,40.75113006507257,-73.98099172857181,"[{'label': 'display', 'lat': 40.75113006507257, 'lng': -73.98099172857181}, {'label': 'entrance', 'lat': 40.751122, 'lng': -73.980965}]",4639,10016,US,New York,NY,United States,"['19 E 39th St (Madison Avenue)', 'New York, NY 10016', 'United States']",,,,,,,,
8,565da01f498ef6985cb9a345,Drybar Soho in Bloomingdale's,"[{'id': '54541900498ea6ccd0202697', 'name': 'Health & Beauty Service', 'pluralName': 'Health & Beauty Services', 'shortName': 'Health & Beauty', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/salon_barber_', 'suffix': '.png'}, 'primary': True}]",v-1618858911,False,44 Crosby St,,40.72205973261088,-73.99888976053873,"[{'label': 'display', 'lat': 40.72205973261088, 'lng': -73.99888976053873}, {'label': 'entrance', 'lat': 40.721933, 'lng': -73.998701}]",8208,10012,US,New York,NY,United States,"['44 Crosby St', 'New York, NY 10012', 'United States']",,,,,,,,
9,54ae7536498e4611855629f5,Drybar UWS,"[{'id': '54541900498ea6ccd0202697', 'name': 'Health & Beauty Service', 'pluralName': 'Health & Beauty Services', 'shortName': 'Health & Beauty', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/salon_barber_', 'suffix': '.png'}, 'primary': True}]",v-1618858911,False,69 W 71st at,Columbus,40.77664331302199,-73.97895049897333,"[{'label': 'display', 'lat': 40.77664331302199, 'lng': -73.97895049897333}]",2160,,US,New York,NY,United States,"['69 W 71st at (Columbus)', 'New York, NY', 'United States']",,,,,,,,
10,59a4d46e61f0705add6bacf6,Drybar,"[{'id': '4bf58dd8d48988d110951735', 'name': 'Salon / Barbershop', 'pluralName': 'Salons / Barbershops', 'shortName': 'Salon / Barbershop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/salon_barber_', 'suffix': '.png'}, 'primary': True}]",v-1618858911,False,300 E 64th St,2nd Avenue,40.76368609352094,-73.96203510701943,"[{'label': 'display', 'lat': 40.76368609352094, 'lng': -73.96203510701943}]",2893,10065,US,New York,NY,United States,"['300 E 64th St (2nd Avenue)', 'New York, NY 10065', 'United States']",,,,,,,,
11,5db77e4d10a19d000875e753,Drybar,"[{'id': '54541900498ea6ccd0202697', 'name': 'Health & Beauty Service', 'pluralName': 'Health & Beauty Services', 'shortName': 'Health & Beauty', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/salon_barber_', 'suffix': '.png'}, 'primary': True}]",v-1618858911,False,,,40.766853,-73.981578,"[{'label': 'display', 'lat': 40.766853, 'lng': -73.981578}]",3125,10019,US,New York,NY,United States,"['New York, NY 10019', 'United States']",,,,,,,,
12,581df4b5b04e9861eb58bf73,Drybar Lower East Side,"[{'id': '54541900498ea6ccd0202697', 'name': 'Health & Beauty Service', 'pluralName': 'Health & Beauty Services', 'shortName': 'Health & Beauty', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/salon_barber_', 'suffix': '.png'}, 'primary': True}]",v-1618858911,False,179 Ludlow St,,40.721951885989675,-73.98741484859767,"[{'label': 'display', 'lat': 40.721951885989675, 'lng': -73.98741484859767}, {'label': 'entrance', 'lat': 40.721993, 'lng': -73.987476}]",7882,10002,US,New York,NY,United States,"['179 Ludlow St', 'New York, NY 10002', 'United States']",,,,,,,,
13,5085a82ce4b06b2e3c6b644b,Dry Bar,"[{'id': '4bf58dd8d48988d110951735', 'name': 'Salon / Barbershop', 'pluralName': 'Salons / Barbershops', 'shortName': 'Salon / Barbershop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/salon_barber_', 'suffix': '.png'}, 'primary': True}]",v-1618858911,False,222 E 34th St,btwn 2nd & 3rd Ave,40.74517240883449,-73.976737298634,"[{'label': 'display', 'lat': 40.74517240883449, 'lng': -73.976737298634}]",5148,10016,US,New York,NY,United States,"['222 E 34th St (btwn 2nd & 3rd Ave)', 'New York, NY 10016', 'United States']",,,,,,,,
14,5675b3fa498eafd413130732,DryBar,"[{'id': '54541900498ea6ccd0202697', 'name': 'Health & Beauty Service', 'pluralName': 'Health & Beauty Services', 'shortName': 'Health & Beauty', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/salon_barber_', 'suffix': '.png'}, 'primary': True}]",v-1618858911,False,Brookfield Place,,40.71379518038771,-74.01532793444942,"[{'label': 'display', 'lat': 40.71379518038771, 'lng': -74.01532793444942}]",9649,,US,New York,NY,United States,"['Brookfield Place', 'New York, NY', 'United States']",,,,,,,,
15,573ef3fd498e246fea9ae4b5,Dry Bar Hell's Kitchen,"[{'id': '4bf58dd8d48988d110951735', 'name': 'Salon / Barbershop', 'pluralName': 'Salons / Barbershops', 'shortName': 'Salon / Barbershop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/salon_barber_', 'suffix': '.png'}, 'primary': True}]",v-1618858911,False,492 W 42nd Street,10th Avenue,40.75947725252716,-73.99545368282779,"[{'label': 'display', 'lat': 40.75947725252716, 'lng': -73.99545368282779}]",4499,10036,US,New York,NY,United States,"['492 W 42nd Street (10th Avenue)', 'New York, NY 10036', 'United States']",,Hell's Kitchen,1136990,https://www.seamless.com/menu/hells-kitchen-gourmet-593-10th-ave-new-york/1136990?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=1136990,seamless,https://fastly.4sqi.net/img/general/cap/,"[40, 50]",/delivery_provider_seamless_20180129.png
16,5293c092498efb087b95ea2c,Drybar Murray Hill,"[{'id': '4bf58dd8d48988d110951735', 'name': 'Salon / Barbershop', 'pluralName': 'Salons / Barbershops', 'shortName': 'Salon / Barbershop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/salon_barber_', 'suffix': '.png'}, 'primary': True}]",v-1618858911,False,,,40.74514398442719,-73.9794073259115,"[{'label': 'display', 'lat': 40.74514398442719, 'lng': -73.9794073259115}]",5217,,US,New York,NY,United States,"['New York, NY', 'United States']",,,,,,,,
17,5a749b70e2d4aa45ead68c65,Dry Bar,"[{'id': '4bf58dd8d48988d110951735', 'name': 'Salon / Barbershop', 'pluralName': 'Salons / Barbershops', 'shortName': 'Salon / Barbershop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/salon_barber_', 'suffix': '.png'}, 'primary': True}]",v-1618858911,False,243 W 99th St,,40.796874,-73.970668,"[{'label': 'display', 'lat': 40.796874, 'lng': -73.970668}]",1214,10025,US,New York,NY,United States,"['243 W 99th St', 'New York, NY 10025', 'United States']",,,,,,,,
18,5628e8f7498e5a2719912fb0,Drybar Greenwich Village,"[{'id': '4bf58dd8d48988d110951735', 'name': 'Salon / Barbershop', 'pluralName': 'Salons / Barbershops', 'shortName': 'Salon / Barbershop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/salon_barber_', 'suffix': '.png'}, 'primary': True}]",v-1618858911,False,60 E 10th St,,40.73189045102772,-73.99176211389985,"[{'label': 'display', 'lat': 40.73189045102772, 'lng': -73.99176211389985}]",6965,10003,US,New York,NY,United States,"['60 E 10th St', 'New York, NY 10003', 'United States']",,,,,,,,
19,5b474e2c10b30300247c8a49,Drybar Hoboken,"[{'id': '4bf58dd8d48988d110951735', 'name': 'Salon / Barbershop', 'pluralName': 'Salons / Barbershops', 'shortName': 'Salon / Barbershop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/salon_barber_', 'suffix': '.png'}, 'primary': True}]",v-1618858911,False,218 Washington St,2nd Street,40.73942947387695,-74.03070831298828,"[{'label': 'entrance', 'lat': 40.739398, 'lng': -74.03049}, {'label': 'display', 'lat': 40.73942947387695, 'lng': -74.03070831298828}]",8177,07030,US,Hoboken,NJ,United States,"['218 Washington St (2nd Street)', 'Hoboken, NJ 07030', 'United States']",,,,,,,,
20,57d34283498e5a4993a2eff7,Drybar Boerum Hill,"[{'id': '54541900498ea6ccd0202697', 'name': 'Health & Beauty Service', 'pluralName': 'Health & Beauty Services', 'shortName': 'Health & Beauty', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/salon_barber_', 'suffix': '.png'}, 'primary': True}]",v-1618858911,False,215 Pacific St,Court Street,40.68902542813316,-73.99217716210433,"[{'label': 'display', 'lat': 40.68902542813316, 'lng': -73.99217716210433}, {'label': 'entrance', 'lat': 40.689008, 'lng': -73.992023}]",11524,11201,US,Brooklyn,NY,United States,"['215 Pacific St (Court Street)', 'Brooklyn, NY 11201', 'United States']",,,,,,,,
21,57732792498edf5509c6c020,oneblowdrybar at Macyâ€™s Herald Square,"[{'id': '54541900498ea6ccd0202697', 'name': 'Health & Beauty Service', 'pluralName': 'Health & Beauty Services', 'shortName': 'Health & Beauty', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/salon_barber_', 'suffix': '.png'}, 'primary': True}]",v-1618858911,False,"One Below, 151 West 34th Street",West 35th Street,40.75058941088087,-73.98824214935301,"[{'label': 'display', 'lat': 40.75058941088087, 'lng': -73.98824214935301}]",4959,10001,US,New York,NY,United States,"['One Below, 151 West 34th Street (West 35th Street)', 'New York, NY 10001', 'United States']",,"Garment District, New York, NY",,,,,,
22,54943a62498eff4bb43d26b0,DryBar Meatpacking,"[{'id': '54541900498ea6ccd0202697', 'name': 'Health & Beauty Service', 'pluralName': 'Health & Beauty Services', 'shortName': 'Health & Beauty', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/salon_barber_', 'suffix': '.png'}, 'primary': True}]",v-1618858911,False,317 W 13th St,,40.739430550578774,-74.00399631320943,"[{'label': 'display', 'lat': 40.739430550578774, 'lng': -74.00399631320943}]",6711,10014,US,New York,NY,United States,"['317 W 13th St', 'New York, NY 10014', 'United States']",,,,,,,,
23,5546681f498e448ae1f7cc9d,Dry Bar,"[{'id': '54541900498ea6ccd0202697', 'name': 'Health & Beauty Service', 'pluralName': 'Health & Beauty Services', 'shortName': 'Health & Beauty', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/salon_barber_', 'suffix': '.png'}, 'primary': True}]",v-1618858911,False,69 W 71st St,,40.776709000000004,-73.978769,"[{'label': 'display', 'lat': 40.776709000000004, 'lng': -73.978769}, {'label': 'entrance', 'lat': 40.776637, 'lng': -73.978823}]",2144,10023,US,New York,NY,United States,"['69 W 71st St', 'New York, NY 10023', 'United States']",,,,,,,,
24,514c6d1580550268cdba3537,Blow out - Boutique Beauty Bar,"[{'id': '4bf58dd8d48988d110951735', 'name': 'Salon / Barbershop', 'pluralName': 'Salons / Barbershops', 'shortName': 'Salon / Barbershop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/salon_barber_', 'suffix': '.png'}, 'primary': True}]",v-1618858911,False,908 Amsterdam Ave,104th & 105th,40.799402811693774,-73.96648406982422,"[{'label': 'display', 'lat': 40.799402811693774, 'lng': -73.96648406982422}]",1222,10025,US,New York,NY,United States,"['908 Amsterdam Ave (104th & 105th)', 'New York, NY 10025', 'United States']",51327690,,,,,,,
25,514b8985e4b080852ac00c85,#Intelfashion at Drybar!,"[{'id': '4bf58dd8d48988d110951735', 'name': 'Salon / Barbershop', 'pluralName': 'Salons / Barbershops', 'shortName': 'Salon / Barbershop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/salon_barber_', 'suffix': '.png'}, 'primary': True}]",v-1618858911,False,,,40.73762252204638,-73.99377213983773,"[{'label': 'display', 'lat': 40.73762252204638, 'lng': -73.99377213983773}]",6455,,US,New York,NY,United States,"['New York, NY', 'United States']",,,,,,,,
26,58efd26867af3a2c5ae21e34,Blo Blow Dry Bar,"[{'id': '54541900498ea6ccd0202697', 'name': 'Health & Beauty Service', 'pluralName': 'Health & Beauty Services', 'shortName': 'Health & Beauty', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/salon_barber_', 'suffix': '.png'}, 'primary': True}]",v-1618858911,False,113 W 10th St,,40.73492431640625,-73.99935913085938,"[{'label': 'display', 'lat': 40.73492431640625, 'lng': -73.99935913085938}]",6938,10011,US,New York,NY,United States,"['113 W 10th St', 'New York, NY 10011', 'United States']",,,,,,,,
27,5c6892aaf709c1002cba9699,Blo Blow Dry Bar,"[{'id': '4bf58dd8d48988d110951735', 'name': 'Salon / Barbershop', 'pluralName': 'Salons / Barbershops', 'shortName': 'Salon / Barbershop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/salon_barber_', 'suffix': '.png'}, 'primary': True}]",v-1618858911,False,331 E 81st St,btwn 1st & 2nd Ave,40.77426,-73.952937,"[{'label': 'display', 'lat': 40.77426, 'lng': -73.952937}]",1808,10028,US,New York,NY,United States,"['331 E 81st St (btwn 1st & 2nd Ave)', 'New York, NY 10028', 'United States']",,,,,,,,
28,57001738cd10a426c20ea3dd,Blo Blow Dry Bar,"[{'id': '54541900498ea6ccd0202697', 'name': 'Health & Beauty Service', 'pluralName': 'Health & Beauty Services', 'shortName': 'Health & Beauty', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/salon_barber_', 'suffix': '.png'}, 'primary': True}]",v-1618858911,False,287 Amsterdam Avenue,74th,40.779733,-73.980574,"[{'label': 'display', 'lat': 40.779733, 'lng': -73.980574}, {'label': 'entrance', 'lat': 40.779583, 'lng': -73.980719}]",2061,10023,US,New York,NY,United States,"['287 Amsterdam Avenue (74th)', 'New York, NY 10023', 'United States']",,,,,,,,
29,52ed381d498e515b85c74a27,Blo Blow Dry Bar,"[{'id': '54541900498ea6ccd0202697', 'name': 'Health & Beauty Service', 'pluralName': 'Health & Beauty Services', 'shortName': 'Health & Beauty', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/salon_barber_', 'suffix': '.png'}, 'primary': True}]",v-1618858911,False,260 East 72nd Street,2nd ave,40.768798,-73.95876,"[{'label': 'display', 'lat': 40.768798, 'lng': -73.95876}]",2320,10021,US,New York,NY,United States,"['260 East 72nd Street (2nd ave)', 'New York, NY 10021', 'United States']",,,,,,,,
30,5740c975498e39a5c6e1e6da,Dry Bar - Hell's Kitchen,"[{'id': '4bf58dd8d48988d110951735', 'name': 'Salon / Barbershop', 'pluralName': 'Salons / Barbershops', 'shortName': 'Salon / Barbershop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/salon_barber_', 'suffix': '.png'}, 'primary': True}]",v-1618858911,False,,,40.759324,-73.994336,"[{'label': 'display', 'lat': 40.759324, 'lng': -73.994336}]",4450,,US,New York,NY,United States,"['New York, NY', 'United States']",,,,,,,,
31,51ccd28d498e8edf647e0d88,Blo Blow Dry Bar,"[{'id': '54541900498ea6ccd0202697', 'name': 'Health & Beauty Service', 'pluralName': 'Health & Beauty Services', 'shortName': 'Health & Beauty', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/salon_barber_', 'suffix': '.png'}, 'primary': True}]",v-1618858911,False,325 East 64th Street,2nd Ave.,40.763483,-73.961196,"[{'label': 'display', 'lat': 40.763483, 'lng': -73.961196}]",2912,10065,US,New York,NY,United States,"['325 East 64th Street (2nd Ave.)', 'New York, NY 10065', 'United States']",,,,,,,,
32,55354a66498e43895e540020,Gabriel Shimunov Hair Salon,"[{'id': '4bf58dd8d48988d110951735', 'name': 'Salon / Barbershop', 'pluralName': 'Salons / Barbershops', 'shortName': 'Salon / Barbershop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/salon_barber_', 'suffix': '.png'}, 'primary': True}]",v-1618858911,False,57 W 57th St Fl 11,5th and 6th Ave.,40.764275080085646,-73.9770895242691,"[{'label': 'display', 'lat': 40.764275080085646, 'lng': -73.9770895242691}]",3172,10019,US,New York,NY,United States,"['57 W 57th St Fl 11 (5th and 6th Ave.)', 'New York, NY 10019', 'United States']",126384699,,,,,,,
33,58e96bf99c95484a51494b3e,Dry Bar,"[{'id': '54541900498ea6ccd0202697', 'name': 'Health & Beauty Service', 'pluralName': 'Health & Beauty Services', 'shortName': 'Health & Beauty', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/salon_barber_', 'suffix': '.png'}, 'primary': True}]",v-1618858911,False,143 Kent Ave,Between N 5th and 6th,40.719419463154516,-73.96261680032335,"[{'label': 'display', 'lat': 40.719419463154516, 'lng': -73.96261680032335}]",7818,11249,US,New York,NY,United States,"['143 Kent Ave (Between N 5th and 6th)', 'New York, NY 11249', 'United States']",,,,,,,,
34,576ab85f498ea7d347c23267,Blo Blow Dry Bar,"[{'id': '54541900498ea6ccd0202697', 'name': 'Health & Beauty Service', 'pluralName': 'Health & Beauty Services', 'shortName': 'Health & Beauty', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/salon_barber_', 'suffix': '.png'}, 'primary': True}]",v-1618858911,False,142 East 49th Street,,40.755502,-73.97222,"[{'label': 'display', 'lat': 40.755502, 'lng': -73.97222}]",3937,10017,US,New York,NY,United States,"['142 East 49th Street', 'New York, NY 10017', 'United States']",,,,,,,,
35,587f9a323ef0f6426ea9fed4,Blo Blow Dry Bar,"[{'id': '4bf58dd8d48988d110951735', 'name': 'Salon / Barbershop', 'pluralName': 'Salons / Barbershops', 'shortName': 'Salon / Barbershop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/salon_barber_', 'suffix': '.png'}, 'primary': True}]",v-1618858911,False,460 Third Avenue,,40.7444371,-73.9793842,"[{'label': 'display', 'lat': 40.7444371, 'lng': -73.9793842}]",5291,10016,US,New York,NY,United States,"['460 Third Avenue', 'New York, NY 10016', 'United States']",,,,,,,,
36,59cbee67a0215b7fe38355a3,oneblowdrybar (Flatiron District),"[{'id': '4bf58dd8d48988d110951735', 'name': 'Salon / Barbershop', 'pluralName': 'Salons / Barbershops', 'shortName': 'Salon / Barbershop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/salon_barber_', 'suffix': '.png'}, 'primary': True}]",v-1618858911,False,"138 5th Avenue, #FL 2",,40.73900233881628,-73.99169683456421,"[{'label': 'display', 'lat': 40.73900233881628, 'lng': -73.99169683456421}]",6240,10011,US,New York,NY,United States,"['138 5th Avenue, #FL 2', 'New York, NY 10011', 'United States']",,,,,,,,
37,536d583b11d2f3547c412a94,Blo Blow Dry Bar,"[{'id': '54541900498ea6ccd0202697', 'name': 'Health & Beauty Service', 'pluralName': 'Health & Beauty Services', 'shortName': 'Health & Beauty', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/salon_barber_', 'suffix': '.png'}, 'primary': True}]",v-1618858911,False,800 6th Avenue,btwn W 27th & W 28th St,40.745588,-73.990489,"[{'label': 'display', 'lat': 40.745588, 'lng': -73.990489}]",5539,10001,US,New York,NY,United States,"['800 6th Avenue (btwn W 27th & W 28th St)', 'New York, NY 10001', 'United States']",,,,,,,,
38,5377f56611d245aa7ab39ce9,BDry Blow Bar,"[{'id': '4bf58dd8d48988d110951735', 'name': 'Salon / Barbershop', 'pluralName': 'Salons / Barbershops', 'shortName': 'Salon / Barbershop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/salon_barber_', 'suffix': '.png'}, 'primary': True}]",v-1618858911,False,88 Leonard St,Broadway,40.71701700682541,-74.0042464789157,"[{'label': 'display', 'lat': 40.71701700682541, 'lng': -74.0042464789157}]",8905,10013,US,New York,NY,United States,"['88 Leonard St (Broadway)', 'New York, NY 10013', 'United States']",,,,,,,,
39,5db71016e370da000860a2c6,Blo Blow Dry Bar,"[{'id': '4bf58dd8d48988d110951735', 'name': 'Salon / Barbershop', 'pluralName': 'Salons / Barbershops', 'shortName': 'Salon / Barbershop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/salon_barber_', 'suffix': '.png'}, 'primary': True}]",v-1618858911,False,105 Nassau Street,,40.71071269999999,-74.0073939,"[{'label': 'display', 'lat': 40.71071269999999, 'lng': -74.0073939}]",9654,10038,US,New York,NY,United States,"['105 Nassau Street', 'New York, NY 10038', 'United States']",569417426,,,,,,,
40,5bb0ef40e1f0aa002c3a5bfd,Blo Blow Dry Bar,"[{'id': '4bf58dd8d48988d110951735', 'name': 'Salon / Barbershop', 'pluralName': 'Salons / Barbershops', 'shortName': 'Salon / Barbershop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/salon_barber_', 'suffix': '.png'}, 'primary': True}]",v-1618858911,False,160 Morgan St,Marin Boulevard,40.720369,-74.040798,"[{'label': 'display', 'lat': 40.720369, 'lng': -74.040798}]",10294,07302,US,Jersey City,NJ,United States,"['160 Morgan St (Marin Boulevard)', 'Jersey City, NJ 07302', 'United States']",,,,,,,,
41,597df7a5bd4009797a921c97,Moxie Blow Dry Bar,"[{'id': '4bf58dd8d48988d110951735', 'name': 'Salon / Barbershop', 'pluralName': 'Salons / Barbershops', 'shortName': 'Salon / Barbershop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/salon_barber_', 'suffix': '.png'}, 'primary': True}]",v-1618858912,False,,,40.894594,-73.973763,"[{'label': 'display', 'lat': 40.894594, 'lng': -73.973763}]",11743,07631,US,Englewood,NJ,United States,"['Englewood, NJ 07631', 'United States']",,,,,,,,
42,5634f740498eb62fdc1f9f3e,Blown Away Blow Dry Bar,"[{'id': '4bf58dd8d48988d110951735', 'name': 'Salon / Barbershop', 'pluralName': 'Salons / Barbershops', 'shortName': 'Salon / Barbershop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/salon_barber_', 'suffix': '.png'}, 'primary': True}]",v-1618858912,False,70-19 Austin St Fl 2,70th road and Austin street,40.720890045166016,-73.84618377685547,"[{'label': 'display', 'lat': 40.720890045166016, 'lng': -73.84618377685547}]",12267,11375,US,Forest Hills,NY,United States,"['70-19 Austin St Fl 2 (70th road and Austin street)', 'Forest Hills, NY 11375', 'United States']",,,,,,,,
